## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
		VP #4	 IR240914003	14/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	1	0	4	0	5	〔fg=#FF0000〕0.8%	
		VP #5	 IR240914003	14/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	577	0	0	0	0	5	2	7	〔fg=#FF0000〕1.2%	
		VP #6	 IR240914003	14/9	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	575	0	0	0	0	6	3	9	〔fg=#FF0000〕1.6%	
		VP #7	 IR240914003	14/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	588	0	0	0	1	8	3	12	〔fg=#FF0000〕2.0%	
		VP #8	 IR240914003	14/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	587	0	0	0	0	2	2	4	〔fg=#FF0000〕0.7%	
		VP #9	 IR240914003	14/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	579	0	0	0	0	5	1	6	〔fg=#FF0000〕1.0%	
		VP #10	 IR240914003	14/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	589	0	0	0	0	4	2	6	〔fg=#FF0000〕1.0%	
9/18/2024	E2-3A	VP #3	 IR240914003	14/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	590	0	0	1	0	14	0	15	〔fg=#FF0000〕2.5%	
		VP #4	 IR240914003	14/9	600	0	8	〔bg=#9BC2E6,fg=#FF0000〕1.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	588	1	0	0	1	10	7	19	〔fg=#FF0000〕3.2%	
		VP #5	 IR240914003	14/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	596	0	0	0	0	9	11	20	〔fg=#FF0000〕3.4%	
		VP #6	 IR240914003	14/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	585	0	0	0	0	7	8	15	〔fg=#FF0000〕2.6%	
		VP #7	 IR240914003	14/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	594	2	0	0	0	10	7	19	〔fg=#FF0000〕3.2%	
		VP #8	 IR240914003	14/9	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	588	0	0	1	0	8	9	18	〔fg=#FF0000〕3.1%	
		VP #9	 IR240914003	14/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	582	1	0	0	1	10	9	21	〔fg=#FF0000〕3.6%	
		VP #10	 IR240914003	14/9	600	0	8	〔bg=#9BC2E6,fg=#FF0000〕1.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	585	0	0	0	0	16	15	31	〔fg=#FF0000〕5.3%	
9/20/2024	C2-3B	VP #3	 IR240918011	18/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	585	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
		VP #5	 IR240918011	18/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	594	0	0	0	0	13	4	17	〔fg=#FF0000〕2.9%	
		VP #6	 IR240918011	18/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	588	0	0	1	0	18	4	23	〔fg=#FF0000〕3.9%	
		VP #7	 IR240918011	18/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	1	0	20	5	26	〔fg=#FF0000〕4.4%	
		VP #8	 IR240918011	18/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	593	0	0	0	0	6	2	8	〔fg=#FF0000〕1.3%	
		VP #9	 IR240918011	18/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	0	0	0	0	12	5	17	〔fg=#FF0000〕2.9%	
		VP #10	 IR240918011	18/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	1	0	7	3	11	〔fg=#FF0000〕1.9%	
9/20/2024	E2-3A	VP #3	 IR240918011	18/9	600	0	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	578	3	0	1	0	9	4	17	〔fg=#FF0000〕2.9%	
		VP #5	 IR240918011	18/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	568	1	0	0	2	15	13	31	〔fg=#FF0000〕5.5%	
		VP #6	 IR240918011	18/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	590	0	0	0	1	10	4	15	〔fg=#FF0000〕2.5%	
		VP #7	 IR240918011	18/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	0	1	0	0	8	10	19	〔fg=#FF0000〕3.2%	
		VP #8	 IR240918011	18/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	0	0	9	5	14	〔fg=#FF0000〕2.3%	
		VP #9	 IR240918011	18/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	10	6	16	〔fg=#FF0000〕2.7%	
		VP #10	 IR240918011	18/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	1	0	0	0	10	7	18	〔fg=#FF0000〕3.0%	
9/24/2024	C2-3B	VP #2	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	580	0	0	2	0	5	2	9	〔fg=#FF0000〕1.6%	
		VP #3	 IR240920020	20/9	600	1	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	577	0	0	0	1	6	2	9	〔fg=#FF0000〕1.6%	
		VP #4	 IR240920020	20/9	600	0	9	〔bg=#9BC2E6,fg=#FF0000〕1.5%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	556	0	0	1	0	7	3	11	〔fg=#FF0000〕2.0%	
		VP #5	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	589	0	0	1	0	8	4	13	〔fg=#FF0000〕2.2%	
		VP #6	 IR240920020	20/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	587	0	0	1	0	10	3	14	〔fg=#FF0000〕2.4%	
		VP #7	 IR240920020	20/9	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	580	0	0	0	0	8	4	12	〔fg=#FF0000〕2.1%	
		VP #8	 IR240920020	20/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	590	0	0	0	0	10	2	12	〔fg=#FF0000〕2.0%	
		VP #9	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	566	0	0	2	0	2	0	4	〔fg=#FF0000〕0.7%	
		VP #10	 IR240920020	20/9	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	580	0	0	1	0	9	2	12	〔fg=#FF0000〕2.1%	
9/24/2024	E2-3A	VP #2	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	595	0	0	1	0	10	5	16	〔fg=#FF0000〕2.7%	
		VP #3	 IR240920020	20/9	600	0	8	〔bg=#9BC2E6,fg=#FF0000〕1.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	588	1	0	1	0	10	6	18	〔fg=#FF0000〕3.1%	
		VP #4	 IR240920020	20/9	600	0	27	〔bg=#9BC2E6,fg=#FF0000〕4.5%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	28	〔fg=#FF0000〕4.7%	563	1	0	1	0	19	5	26	〔fg=#FF0000〕4.6%	
		VP #5	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	596	0	0	0	0	10	9	19	〔fg=#FF0000〕3.2%	
		VP #6	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	2	0	1	0	7	9	19	〔fg=#FF0000〕3.2%	
		VP #7	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	592	1	0	1	0	10	7	19	〔fg=#FF0000〕3.2%	
		VP #8	 IR240920020	20/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	600	0	0	0	0	5	11	16	〔fg=#FF0000〕2.7%	
		VP #9	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	0	0	0	0	7	10	17	〔fg=#FF0000〕2.8%	
		VP #10	 IR240920020	20/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	598	0	0	0	1	11	6	18	〔fg=#FF0000〕3.0%	
9/27/2024	C2-3B	VP #2	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	579	0	0	0	0	5	2	7	〔fg=#FF0000〕1.2%	
		VP #3	 IR240925015	25/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	583	0	0	0	0	5	1	6	〔fg=#FF0000〕1.0%	
		VP #5	 IR240925015	25/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	587	0	0	0	1	6	3	10	〔fg=#FF0000〕1.7%	
		VP#6	 IR240925015	25/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	575	0	0	0	0	7	0	7	〔fg=#FF0000〕1.2%	
		VP #7	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	593	0	0	0	0	9	2	11	〔fg=#FF0000〕1.9%	
		VP #8	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	0	0	0	0	7	1	8	〔fg=#FF0000〕1.3%	
		VP #9	 IR240925015	25/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	579	0	0	0	0	5	1	6	〔fg=#FF0000〕1.0%	
		VP #10	 IR240925015	25/9	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	593	0	0	0	0	10	3	13	〔fg=#FF0000〕2.2%	
		VP #11	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	581	0	0	2	0	10	3	15	〔fg=#FF0000〕2.6%	
		VP #12	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	593	0	0	1	0	8	2	11	〔fg=#FF0000〕1.9%	
9/27/2024	E2-3A	VP #2	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	595	1	2	1	0	13	3	20	〔fg=#FF0000〕3.4%	
		VP #3	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	584	2	0	0	1	17	0	20	〔fg=#FF0000〕3.4%	
		VP #5	 IR240925015	25/9	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	579	0	0	0	0	17	0	17	〔fg=#FF0000〕2.9%	
		VP#6	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	588	0	0	0	0	18	0	18	〔fg=#FF0000〕3.1%	
		VP #7	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	595	2	0	0	2	16	1	21	〔fg=#FF0000〕3.5%	
		VP #8	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	18	0	18	〔fg=#FF0000〕3.1%	
		VP #9	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	1	0	14	5	20	〔fg=#FF0000〕3.3%	
		VP #10	 IR240925015	25/9	600	0	3	〔bg=#9BC2E6,fg=#FF0000〕0.5%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	590	3	0	2	0	16	1	22	〔fg=#FF0000〕3.7%	
		VP #11	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	597	0	0	0	0	17	0	17	〔fg=#FF0000〕2.8%	
		VP #12	 IR240925015	25/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	592	0	0	0	0	15	2	17	〔fg=#FF0000〕2.9%	
10/2/2024	C2-3B	VP #2	 IR240927005	27/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	590	0	0	2	0	4	1	7	〔fg=#FF0000〕1.2%	
		VP #3	 IR240927005	27/9	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	0	0	7	2	9	〔fg=#FF0000〕1.5%	
	C2-3A	VP #4	 IR240927005	27/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	586	0	0	1		6	3	10	〔fg=#FF0000〕1.7%	
		VP #5	 IR240927005	27/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	0	0	0	0	16	3	19	〔fg=#FF0000〕3.2%	
		VP#6	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	590	0	0	0	0	11	5	16	〔fg=#FF0000〕2.7%	
		VP #7	 IR240927005	27/9	600	0	7	〔bg=#9BC2E6,fg=#FF0000〕1.2%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	588	0	0	0	0	4	0	4	〔fg=#FF0000〕0.7%	
		VP #8	 IR240927005	27/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	598	0	0	0	0	8	3	11	〔fg=#FF0000〕1.8%	
		VP #9	 IR240927005	27/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	0	0	16	1	17	〔fg=#FF0000〕2.9%	
		VP #11	 IR240927006	27/9	600	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	582	0	0	0	0	16	2	18	〔fg=#FF0000〕3.1%	
		VP #12	 IR240927005	27/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	587	0	0	0	0	17	2	19	〔fg=#FF0000〕3.2%	
10/2/2024	E2-3A	VP #2	 IR240927005	27/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	597	1	0	0	0	18	0	19	〔fg=#FF0000〕3.2%	
		VP #3	 IR240927005	27/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	593	0	0	0	0	17	0	17	〔fg=#FF0000〕2.9%	
		VP #4	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	599	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
		VP #5	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
		VP#6	 IR240927005	27/9	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	589	1	0	0	0	17	0	18	〔fg=#FF0000〕3.1%	
	E2-3B	VP #7	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	596	1	0	0	0	14	6	21	〔fg=#FF0000〕3.5%	
		VP #8	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	592	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
		VP #9	 IR240927005	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	594	1	0	0	1	17	2	21	〔fg=#FF0000〕3.5%	
		VP #11	 IR240927006	27/9	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	600	1	0	1	0	17	1	20	〔fg=#FF0000〕3.3%	
		VP #12	 IR240927005	27/9	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	589	0	1	0	0	15	2	18	〔fg=#FF0000〕3.1%	
10/10/2024	E2-3B	VP #3	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	586	2	0	1	0	13	0	16	〔fg=#FF0000〕2.7%	
		VP #4	 IR241007035	7/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	594	0	0	1	1	18	0	20	〔fg=#FF0000〕3.4%	
		VP #5	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	596	0	0	0	2	15	0	17	〔fg=#FF0000〕2.9%	
		VP #6	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
		〔bg=#9BC2E6〕VP #7	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	595	0	0	0	0	23	0	23	〔bg=#9BC2E6,fg=#FF0000〕3.9%	
		VP #8	 IR241007035	7/10	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	588	1	0	0	0	13	0	14	〔fg=#FF0000〕2.4%	
		〔bg=#9BC2E6〕VP #9	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	596	0	0	0	0	20	0	20	〔bg=#9BC2E6,fg=#FF0000〕3.4%	
		〔bg=#9BC2E6〕VP #11	 IR241007035	7/10	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	591	0	0	0	2	17	2	21	〔bg=#9BC2E6,fg=#FF0000〕3.6%	
		VP #12	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	0	0	17	0	17	〔fg=#FF0000〕2.8%	
10/10/2024	C2-3A	VP #3	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	581	0	0	1	0	10	5	16	〔fg=#FF0000〕2.8%	
		VP #4	 IR241007035	7/10	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	9	〔fg=#FF0000〕1.5%	587	0	0	1	0	10	7	18	〔fg=#FF0000〕3.1%	
		VP #5	 IR241007035	7/10	600	1	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	16	〔fg=#FF0000〕2.7%	585	1	0	1	0	20	5	27	〔bg=#9BC2E6,fg=#FF0000〕4.6%	
		VP #6	 IR241007035	7/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	581	0	0	0	1	13	7	21	〔bg=#9BC2E6,fg=#FF0000〕3.6%	
		〔bg=#9BC2E6〕VP #7	 IR241007035	7/10	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	17	〔fg=#FF0000〕2.8%	585	0	0	0	0	9	5	14	〔fg=#FF0000〕2.4%	
		VP #8	 IR241007035	7/10	600	0	8	〔bg=#9BC2E6,fg=#FF0000〕1.3%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	13	〔fg=#FF0000〕2.2%	572	1	0	0	0	11	8	20	〔bg=#9BC2E6,fg=#FF0000〕3.5%	
		〔bg=#9BC2E6〕VP #9	 IR241007035	7/10	600	1	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	12	〔fg=#FF0000〕2.0%	584	0	0	0	0	10	4	14	〔fg=#FF0000〕2.4%	
		〔bg=#9BC2E6〕VP #11	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	595	0	0	0	0	13	3	16	〔fg=#FF0000〕2.7%	
		VP #12	 IR241007035	7/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	583	0	0	0	0	8	3	11	〔fg=#FF0000〕1.9%	
10/11/2024	E2-3B	VP #2	 IR241009005	9/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	587	0	0	0	1	16	0	17	〔fg=#FF0000〕2.9%	
		VP #5	 IR241009005	9/10	600	1	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	578	0	0	0	0	14	0	14	〔fg=#FF0000〕2.4%	
		VP #6	 IR241009005	9/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	591	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #7	 IR241009005	9/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	592	0	0	0	0	17	0	17	〔fg=#FF0000〕2.9%	
		〔bg=#9BC2E6〕VP #8	 IR241009005	9/10	600	0	6	〔bg=#9BC2E6,fg=#FF0000〕1.0%		〔bg=#9BC2E6,fg=#FF0000〕0.0%	6	〔fg=#FF0000〕1.0%	587	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
		VP #9	 IR241009005	9/10	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	583	0	0	0	0	13	0	13	〔fg=#FF0000〕2.2%	
		VP #10	 IR241009005	9/10	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	588	0	0	0	0	16	0	16	〔fg=#FF0000〕2.7%	
10/16/2024	E2-3B	VP #4	 IR241011033	11/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	0	2	19	0	21	〔fg=#FF0000〕3.5%	
		VP #6	 IR241011033	11/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	599	0	0	0	0	18	0	18	〔fg=#FF0000〕3.0%	
		VP #7	 IR241011033	11/10	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	600	0	0	0	1	19	0	20	〔fg=#FF0000〕3.3%	
		VP #8	 IR241011033	11/10	600	0	19	〔fg=#FF0000〕3.2%		〔fg=#FF0000〕0.0%	19	〔fg=#FF0000〕3.2%	577	0	0	0	1	21	0	22	〔fg=#FF0000〕3.8%	
		VP #11	 IR241011033	11/10	600	1	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	593	0	0	1	0	17	0	18	〔fg=#FF0000〕3.0%	
