HZ	〔b〕OK										〔b〕편심											HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
	〔bg=#F2DCDB〕# 1	〔bg=#F2DCDB〕# 2	〔bg=#F2DCDB〕# 3	〔bg=#F2DCDB〕# 4	〔bg=#F2DCDB〕# 5	〔bg=#F2DCDB〕# 6	〔bg=#F2DCDB〕# 7	〔bg=#F2DCDB〕# 8	〔bg=#F2DCDB〕# 9	〔bg=#F2DCDB〕# 10	〔bg=#DCE6F1〕# 1	〔bg=#DCE6F1〕# 2	〔bg=#DCE6F1〕# 3	〔bg=#DCE6F1〕# 4	〔bg=#DCE6F1〕# 5	〔bg=#DCE6F1〕# 6	〔bg=#DCE6F1〕# 7	〔bg=#DCE6F1〕# 8	〔bg=#DCE6F1〕# 9	〔bg=#DCE6F1〕# 10	〔bg=#DCE6F1〕# 11	HZ	OK_MAX	OK-MIN	NG-MAX	NG-MIN			
475	84.474	83.827	83.915	84.446	84.496	84.263	83.914	85.917	85.571	86.009	84.93	86.333	85.638	86.628	84.336	85.238	85.449	84.688	85.924	85.129	84.853	475	86.009	83.827	86.628	84.336		2.182	2.292
500	84.507	83.828	83.882	84.32	84.522	84.13	83.803	86.121	85.59	85.893	85.072	86.3	85.601	86.443	84.29	85.178	85.304	84.691	85.49	85.131	84.807	500	86.121	83.803	86.443	84.29		2.318	2.15299999999999
530	84.504	83.788	83.855	84.457	84.364	84.347	83.762	86.018	85.464	85.746	84.815	86.313	85.539	86.499	84.266	85.085	85.306	84.6	85.777	84.959	84.768	530	86.018	83.762	86.499	84.266		2.256	2.23299999999999
560	84.426	83.725	83.829	84.292	84.398	83.999	83.698	86.016	85.463	85.688	85.203	86.23	85.435	86.398	84.288	85.015	85.215	84.514	85.673	84.95	84.665	560	86.016	83.698	86.398	84.288		2.31800000000001	2.11
600	84.313	83.759	83.873	84.248	84.364	83.911	83.738	85.939	85.426	85.729	85.246	86.203	85.412	86.26	84.256	85.05	85.037	84.452	85.562	84.916	84.701	600	85.939	83.738	86.26	84.256		2.20099999999999	2.004
630	84.184	83.684	83.802	84.236	84.252	84.149	83.702	85.867	85.372	85.581	84.504	86.201	85.332	86.256	84.276	85.016	85.112	84.498	85.487	84.868	84.607	630	85.867	83.684	86.256	84.276		2.18300000000001	1.98
670	84.204	83.707	83.796	84.11	84.188	83.992	83.701	85.987	85.295	85.604	84.81	86.146	85.241	86.205	84.184	85	85.02	84.412	85.421	84.825	84.562	670	85.987	83.701	86.205	84.184		2.286	2.021
710	84.173	83.653	83.822	84.199	84.204	84.033	83.665	85.921	85.312	85.542	84.806	86.118	85.265	86.104	84.296	85.051	85.063	84.356	85.413	84.774	84.608	710	85.921	83.653	86.118	84.296		2.268	1.82199999999999
750	84.212	83.758	83.842	84.124	84.253	83.942	83.671	85.885	85.291	85.508	84.593	86.123	85.218	86.14	84.232	85.041	85.055	84.378	85.428	84.803	84.628	750	85.885	83.671	86.14	84.232		2.214	1.908
800	84.229	83.833	83.966	84.168	84.3	84.005	83.826	85.99	85.341	85.571	84.732	86.152	85.269	86.11	84.244	85.1	85.07	84.442	85.403	84.808	84.644	800	85.99	83.826	86.152	84.244		2.164	1.908
850	84.301	83.939	84.046	84.265	84.423	84.101	83.926	86.031	85.386	85.657	84.847	86.244	85.348	86.205	84.342	85.222	85.139	84.525	85.487	84.913	84.758	850	86.031	83.926	86.244	84.342		2.105	1.902
900	84.43	84.096	84.253	84.377	84.549	84.216	84.053	86.194	85.523	85.746	84.957	86.378	85.489	86.305	84.55	85.352	85.299	84.655	85.607	85.068	84.919	900	86.194	84.053	86.378	84.55		2.141	1.828
950	84.623	84.305	84.432	84.579	84.754	84.373	84.292	86.328	85.661	85.833	85.133	86.516	85.633	86.534	84.733	85.585	85.439	84.86	85.75	85.219	85.125	950	86.328	84.292	86.534	84.733		2.036	1.801
1000	84.78	84.54	84.685	84.788	84.95	84.563	84.517	86.51	85.863	86.073	85.351	86.692	85.823	86.677	84.985	85.772	85.656	85.054	85.934	85.437	85.32	1000	86.51	84.517	86.692	84.985		1.99300000000001	1.70699999999999
1060	85.066	84.842	84.993	85.054	85.235	84.79	84.815	86.736	86.078	86.274	85.609	86.928	86.083	86.961	85.249	86.095	85.916	85.327	86.171	85.71	85.611	1060	86.736	84.79	86.961	85.249		1.946	1.712
1120	85.301	85.113	85.288	85.296	85.495	85.038	85.081	86.968	86.299	86.533	85.868	87.154	86.329	87.196	85.521	86.349	86.167	85.58	86.362	85.978	85.86	1120	86.968	85.038	87.196	85.521		1.93000000000001	1.675
1180	85.526	85.377	85.548	85.515	85.747	85.254	85.346	87.149	86.51	86.692	86.118	87.347	86.545	87.426	85.787	86.628	86.4	85.819	86.558	86.205	86.106	1180	87.149	85.254	87.426	85.787		1.895	1.639
1250	85.748	85.613	85.795	85.78	85.987	85.449	85.596	87.33	86.672	86.894	86.33	87.505	86.76	87.654	86.044	86.882	86.623	86.046	86.769	86.438	86.352	1250	87.33	85.449	87.654	86.044		1.881	1.61
1320	85.902	85.821	86.007	85.925	86.166	85.598	85.793	87.438	86.818	87.042	86.51	87.615	86.931	87.817	86.243	87.081	86.786	86.244	86.902	86.614	86.554	1320	87.438	85.598	87.817	86.243		1.84	1.574
1400	86.057	86.01	86.204	86.138	86.368	85.738	85.996	87.553	86.936	87.168	86.692	87.749	87.093	87.972	86.415	87.279	86.956	86.41	86.98	86.796	86.743	1400	87.553	85.738	87.972	86.41		1.815	1.562
1500	86.222	86.227	86.422	86.298	86.552	85.9	86.211	87.651	87.066	87.324	86.887	87.834	87.271	88.156	86.63	87.505	87.145	86.611	87.137	86.983	86.957	1500	87.651	85.9	88.156	86.611		1.75099999999999	1.545
1600	86.379	86.424	86.621	86.476	86.732	86.022	86.398	87.75	87.181	87.465	87.067	87.937	87.434	88.321	86.819	87.709	87.319	86.786	87.273	87.163	87.154	1600	87.75	86.022	88.321	86.786		1.72799999999999	1.535
1700	86.563	86.634	86.835	86.665	86.947	86.204	86.626	87.829	87.326	87.632	87.265	88.049	87.609	88.497	87.036	87.933	87.512	86.974	87.415	87.342	87.359	1700	87.829	86.204	88.497	86.974		1.625	1.523
1800	86.757	86.887	87.082	86.89	87.171	86.392	86.871	87.974	87.495	87.808	87.485	88.228	87.84	88.744	87.256	88.184	87.731	87.208	87.57	87.588	87.593	1800	87.974	86.392	88.744	87.208		1.58200000000001	1.536
1900	86.973	87.133	87.321	87.175	87.408	86.592	87.116	88.146	87.681	88.001	87.713	88.358	88.045	88.978	87.481	88.425	87.949	87.44	87.742	87.821	87.825	1900	88.146	86.592	88.978	87.44		1.554	1.538
2000	87.223	87.383	87.575	87.383	87.655	86.81	87.36	88.306	87.892	88.217	87.954	88.543	88.292	89.241	87.736	88.69	88.202	87.673	87.93	88.049	88.072	2000	88.306	86.81	89.241	87.673		1.49599999999999	1.568
2120	87.524	87.715	87.905	87.688	87.975	87.093	87.685	88.534	88.168	88.51	88.272	88.79	88.593	89.509	88.053	89.038	88.514	87.977	88.289	88.367	88.394	2120	88.534	87.093	89.509	87.977		1.441	1.532
